가다	to go
오다	to come
먹다	to eat
마시다	to drink
자다	to sleep
쉬다	to rest
보다	to see / watch
읽다	to read
듣다	to listen
공부하다	to study
일하다	to work
만나다	to meet
나가다	to go out
있다	to be / exist / have
없다	to not exist, to not have
좋아하다	to like
시작하다	to start
끝나다	to end
기다리다	to wait
준비하다	to prepare
걷다	to walk
운전하다	to drive
요리하다	to cook
산책하다	to take a walk
만들다	to make
배우다	to learn
도와주다	to help
약속	appointment
친구	friend
사람	person
학생	student
학교	school
집	house / home
가게	store
카페	cafe
식당	restaurant
밥	rice / meal
물	water
커피	coffee
음식	food
드라마	drama
지금	now
오늘	today
어제	yesterday
내일	tomorrow
어젯밤	last night
지난주	last week
아침	morning
저녁	evening
주말	weekend
다음에	next time
먼저	first
보통	usually
자주	often
가끔	sometimes
거의 안	hardly
갑자기	suddenly
계속	continuously
아직	still / not yet
같이	together
피곤하다	to be tired
힘들다	to be tiring
어렵다	to be difficult
재미있다	to be interesting
괜찮다	to be okay
싫다	to dislike
그래서	so
왜냐하면	because
하지만	but
대신에	instead
그리고	and
그렇지만	however / but (strong contrast)
그런데	but / by the way (topic shift)
영화	movie
토요일	Saturday
일요일	Sunday
사과	apple
사다	to buy
너무	really / too
맛있다	to be delicious
좀	a little (casual / softening requests)
졸리다	to be sleepy
혼자	alone
뭐	what
입다	to wear
청바지	jeans
놀다	to play / hang out
팔다	to sell
어디	where
얼마	how much
카메라	camera
방	room
청소하다	to clean
책	book
빵	bread
비가 오다	to rain
집에 있다	to stay at home
저	I / me (formal)
돈	money
이거	this
주세요	please give me
우유	milk
누구	who
요일	day of the week
월요일	Monday
화요일	Tuesday
수요일	Wednesday
목요일	Thursday
금요일	Friday
신나다	to be excited
선물	gift
주다	to give
받다	to receive
편지	letter
전화가 오다	to get a phone call
서울	Seoul
맞다	to be correct
시	hour
분	minute
반	half
수업	class
몇	how many
매일	every day
출근하다	to go to work
돌	stone
공	ball
개	counter for things / dog
자루	counter for long objects
대	counter for machines / cars
연필	pencil
차	car / tea
명	counter for people
마리	counter for animals
새	bird
오리	duck
권	counter for books
종이	paper
장	counter for flat objects
콜라	cola
병	counter for bottles
생각하다	to think
밖	outside
눈이 오다	to snow
바람이 불다	the wind blows
자기소개	self-introduction
선생님	teacher
제	my
이름	name
여동생	younger sister
나이	age
비밀	secret
남동생	younger brother
한국 사람	Korean person
미국 사람	American person
베트남 사람	Vietnamese person
독일 사람	German person
영국 사람	British person
반갑습니다	nice to meet you
월	month
몇 월	what month
며칠	what date / a few days
생일	birthday
언제	when
좋다	to be good
이것	this thing
가져오다	to bring
잡다	to catch
노래하다	to sing
영어	English
가르치다	to teach
컴퓨터	computer
고치다	to fix
원래	originally / usually
어리다	to be young
항상	always
간단한	simple
배가 고프다	to be hungry
건강	health
꼭	definitely / be sure to
조금	a littlea little (neutral)
비싸다	to be expensive
정말	really / truly (neutral)
빠르다	to be fast
이상하다	to be strange
진짜	really / seriously (casual emphasis)
아	ah
에이	come on
아주	very
멀다	to be far
별로	not really (used with negative)
나쁘다	to be bad
바쁘다	to be busy
덥다	to be hot (weather)
재미없다	to be not interesting
전혀	not at all (used with negative)
하나도	not even one / not at all
수	way / possibility (ability structure)
못	cannot
일본어	Japanese (language)
잘하다	to do well
못하다	to do poorly
잘 못하다	to not do well
수영	swimming
글씨	handwriting
달리기	running
퍼즐	puzzle
풀다	to solve
매운 거	spicy food
잘못하다	to make a mistake
알다	to know
취미	hobby
요즘	these days
수다 떨다	to chat
여기	here
안녕	hi (casual)
하세요	please do (honorific ending)
감사	gratitude
합니다	I do (formal ending)
네	yes
아니요	no
안 좋아해요	I don't like it
네?	pardon?
안녕히 계세요	goodbye (you stay)
안녕히 가세요	goodbye (you go)
가세요	please go
죄송합니다	I'm sorry (formal)
죄송	apology
저기요	excuse me
잠시만요	just a moment
잠깐만요	just a second
가방	bag
사무실	office
사전	dictionary
이	this (determiner)
그	that (determiner)
그것	that thing
저것	that thing over there
거	thing (spoken form)
아니다	to not be (noun negation)
아니에요	it is not
고양이	cat
호랑이	tiger
시간	time
재미	fun
맛	taste
삼겹살	grilled pork belly
케이크	cake
맛없어요	it's not tasty
잘 먹겠습니다	I will eat well
잘 먹었습니다	I ate well
더	more / further
보이다	to be seento be visible / to look (appear)
적다	to write downto write down / to jot down
멋있다	to be cool
한국	Korea
도착하다	to arrive
일어나다	to get up
아까	earlier
나중에	later
모르다	to not know
기억하다	to remember
운동하다	to exercise
노력하다	to try hard
누가	who (subject)
어떻게	how
찾다	to find
왜	why
내다	to pay
얼마나	how (degree)
크다	to be big
무겁다	to be heavy
저기	there
머리	head
발끝	toes
부산	Busan
수박	watermelon
예쁘다	to be pretty
